subject_y	initial_alias	converted_alias	name	description
MCINX2_00007727-RA	FBPP0099593	Kaz1-ORFB	Kaz1-ORFB	Kaz1-ORFB
MCINX2_00007730-RA	FBPP0401609	CG8369	CG8369	None
MCINX2_00007732-RE	FBPP0311387	JHDM2	JHDM2	JmjC domain-containing histone demethylase 2
MCINX2_00007734-RB	FBPP0291906	ReepA	ReepA	Receptor expression enhancing protein A
MCINX2_00007735-RA	FBPP0308752	CG1575	CG1575	None
MCINX2_00007736-RB	FBPP0085192	CG11563	CG11563	None
MCINX2_00007737-RA	FBPP0303820	CG13901	CG13901	None
MCINX2_00007738-RA	FBPP0087183	CG13197	CG13197	None
MCINX2_00007743-RA	FBPP0290614	kn	kn	knot
MCINX2_00007749-RA	FBPP0076098	Cdk8	Cdk8	Cyclin-dependent kinase 8
MCINX2_00007750-RA	FBPP0078139	CG7139	CG7139	None
MCINX2_00007751-RA	FBPP0073711	CG32603	CG32603	None
MCINX2_00007752-RA	FBPP0288977	prom	prom	prominin
MCINX2_00007766-RA	FBPP0072205	CG13579	CG13579	None
MCINX2_00007779-RA	FBPP0082984	Non3	Non3	Novel nucleolar protein 3
MCINX2_00007780-RB	FBPP0301218	CG6006	CG6006	None
MCINX2_00007782-RA	FBPP0082731	Bin1	Bin1	Bicoid interacting protein 1
MCINX2_00007783-RA	FBPP0310844	sra	sra	sarah
MCINX2_00007786-RB	FBPP0082730	CG6126	CG6126	None
MCINX2_00007789-RA	FBPP0082135	kar	kar	karmoisin
MCINX2_00007791-RA	FBPP0081157	Ufl1	Ufl1	UFM1 specific ligase 1
MCINX2_00007792-RA	FBPP0081882	mgr	mgr	merry-go-round
MCINX2_00007793-RA	FBPP0087727	Ggamma1	Ggamma1	G protein gamma 1
MCINX2_00007794-RA	FBPP0087086	Drep1	Drep1	DNA fragmentation factor-related protein 1
MCINX2_00007796-RA	FBPP0087129	CG8888	CG8888	None
MCINX2_00007798-RA	FBPP0087128	jeb	jeb	jelly belly
MCINX2_00007800-RA	FBPP0071250	CG17754	CG17754	None
MCINX2_00007801-RA	FBPP0087764	CCT8	CCT8	Chaperonin containing TCP1 subunit 8
MCINX2_00007803-RA	FBPP0082522	ATPsynO	ATPsynO	ATP synthase
MCINX2_00007804-RA	FBPP0307983	eIF2gamma	eIF2gamma	eukaryotic translation initiation factor 2 subunit gamma
MCINX2_00007805-RA	FBPP0084786	Cul5	Cul5	Cullin 5
MCINX2_00007806-RA	FBPP0078317	PSMG1	PSMG1	Proteasome assembly chaperone 1
MCINX2_00007807-RA	FBPP0110093	REPTOR	REPTOR	Repressed by TOR
MCINX2_00007808-RA	FBPP0306432	CG8032	CG8032	None
MCINX2_00007809-RA	FBPP0081886	CG10898	CG10898	None
MCINX2_00007811-RA	FBPP0083043	CG7218	CG7218	None
MCINX2_00007813-RA	FBPP0290830	sr	sr	stripe
MCINX2_00007817-RA	FBPP0290468	CG42554	CG42554	None
MCINX2_00007821-RA	FBPP0083577	CG13408	CG13408	None
MCINX2_00007829-RA	FBPP0083152	CG14280	CG14280	None
MCINX2_00007830-RA	FBPP0084241	CG10425	CG10425	None
MCINX2_00007831-RA	FBPP0086431	Diap2	Diap2	Death-associated inhibitor of apoptosis 2
MCINX2_00007833-RA	FBPP0075254	Diap1	Diap1	Death-associated inhibitor of apoptosis 1
MCINX2_00007834-RA	FBPP0310469	spel1	spel1	spellchecker1
MCINX2_00007836-RA	FBPP0070359	CG4025	CG4025	None
MCINX2_00007839-RA	FBPP0083391	KaiR1D	KaiR1D	Kainate-type ionotropic glutamate receptor subunit 1D
MCINX2_00007840-RA	FBPP0307023	Grik	Grik	None
MCINX2_00007841-RA	FBPP0079879	PLCXD	PLCXD	Phosphatidylinositol-specific phospholipase C X domain containing
MCINX2_00007842-RA	FBPP0075193	Notum	Notum	Notum
MCINX2_00007843-RA	FBPP0292145	stac	stac	staccato
MCINX2_00007844-RA	FBPP0078111	CG14570	CG14570	None
MCINX2_00007846-RA	FBPP0077750	CG13690	CG13690	None
MCINX2_00007847-RA	FBPP0302874	CG16890	CG16890	None
MCINX2_00007848-RA	FBPP0074343	CG32549	CG32549	None
MCINX2_00007851-RB	FBPP0086579	HPS1	HPS1	Hermansky-Pudlak Syndrome 1
MCINX2_00007853-RA	FBPP0081376	Dhod	Dhod	Dihydroorotate dehydrogenase
MCINX2_00007854-RA	FBPP0310878	CG10731	CG10731	None
MCINX2_00007855-RA	FBPP0071296	Hex-A	Hex-A	Hexokinase A
MCINX2_00007858-RA	FBPP0112453	CG17168	CG17168	None
MCINX2_00007859-RB	FBPP0081404	CG8379	CG8379	None
MCINX2_00007860-RA	FBPP0309510	CG44532	CG44532	None
MCINX2_00007861-RA	FBPP0082563	CG14868	CG14868	None
MCINX2_00007862-RA	FBPP0304407	Girdin	Girdin	Girdin
MCINX2_00007863-RA	FBPP0305777	Tasp1	Tasp1	Taspase 1
MCINX2_00007865-RA	FBPP0305494	CG9921	CG9921	None
MCINX2_00007869-RF	FBPP0303307	cpo	cpo	couch potato
MCINX2_00007871-RA	FBPP0292026	CG9849	CG9849	None
MCINX2_00007872-RA	FBPP0086061	Dcr-2	Dcr-2	Dicer-2
MCINX2_00007875-RA	FBPP0086103	RpL18A	RpL18A	Ribosomal protein L18A
MCINX2_00007876-RA	FBPP0072227	Adck1	Adck1	aarF domain containing kinase 1
MCINX2_00007878-RA	FBPP0290456	Coq3	Coq3	Coenzyme Q3
MCINX2_00007882-RB	FBPP0297280	CG9812	CG9812	None
MCINX2_00007887-RA	FBPP0085642	CG8654	CG8654	None
MCINX2_00007891-RA	FBPP0081580	Scm	Scm	Sex comb on midleg
MCINX2_00007893-RA	FBPP0087757	AIMP1	AIMP1	aaRS-interacting multifunctional protein 1
MCINX2_00007894-RA	FBPP0305864	S6kII	S6kII	Ribosomal protein S6 kinase II
MCINX2_00007896-RA	FBPP0086207	ste24a	ste24a	prenyl protease type I
MCINX2_00007898-RA	FBPP0080207	Pburs	Pburs	Partner of Bursicon
MCINX2_00007899-RA	FBPP0083529	Burs	Burs	Bursicon
MCINX2_00007901-RA	FBPP0075360	Tollo	Tollo	Tollo
MCINX2_00007903-RA	FBPP0304939	Su(var)3-3	Su(var)3-3	Suppressor of variegation 3-3
MCINX2_00007904-RA	FBPP0297411	Toll-6	Toll-6	Toll-6
MCINX2_00007910-RC	FBPP0303857	CG3557	CG3557	None
MCINX2_00007910-RD	FBPP0086122	Dark	Dark	Death-associated APAF1-related killer
MCINX2_00007913-RB	FBPP0086435	bdg	bdg	bedraggled
MCINX2_00007914-RA	FBPP0071095	CG10932	CG10932	None
MCINX2_00007917-RA	FBPP0082694	CG4287	CG4287	None
MCINX2_00007918-RB	FBPP0077841	in	in	inturned
MCINX2_00007919-RC	FBPP0085421	sxc	sxc	super sex combs
MCINX2_00007924-RA	FBPP0085638	Toll-7	Toll-7	Toll-7
MCINX2_00007931-RA	FBPP0083507	Smyd5	Smyd5	SET and MYND domain containing
MCINX2_00007933-RA	FBPP0074065	SMC3	SMC3	Structural maintenance of chromosomes 3
MCINX2_00007935-RA	FBPP0081000	Pld3	Pld3	Phospholipase D family member 3
MCINX2_00007937-RA	FBPP0072562	Ctr9	Ctr9	Ctr9
MCINX2_00007938-RA	FBPP0070165	mus81	mus81	mus81
MCINX2_00007939-RA	FBPP0303130	vsg	vsg	visgun
MCINX2_00007941-RA	FBPP0293270	mahj	mahj	mahjong
MCINX2_00007943-RA	FBPP0309528	CG13315	CG13315	None
MCINX2_00007947-RA	FBPP0301603	CG7470	CG7470	None
MCINX2_00007948-RA	FBPP0086058	RhoGAP54D	RhoGAP54D	Rho GTPase activating protein at 54D
MCINX2_00007949-RA	FBPP0071008	Dok	Dok	Downstream of kinase
MCINX2_00007951-RA	FBPP0311552	mspo	mspo	M-spondin
MCINX2_00007955-RA	FBPP0073649	CG11134	CG11134	None
MCINX2_00007958-RA	FBPP0304778	Pif1A	Pif1A	PFTAIRE-interacting factor 1A
MCINX2_00007958-RF	FBPP0304777	Pif1A	Pif1A	PFTAIRE-interacting factor 1A
MCINX2_00007962-RA	FBPP0082763	Pak3	Pak3	Pak3
MCINX2_00007963-RA	FBPP0082740	CG14882	CG14882	None
MCINX2_00007964-RA	FBPP0301616	Zyx	Zyx	Zyxin
MCINX2_00007965-RA	FBPP0301593	nsl1	nsl1	non-specific lethal 1
MCINX2_00007966-RA	FBPP0083451	CG5862	CG5862	None
MCINX2_00007967-RA	FBPP0081576	eca	eca	eclair
MCINX2_00007968-RA	FBPP0307913	Ir93a	Ir93a	Ionotropic receptor 93a
MCINX2_00007970-RA	FBPP0081799	CG6465	CG6465	None
MCINX2_00007971-RA	FBPP0305144	CG42700	CG42700	None
MCINX2_00007972-RA	FBPP0086707	CG13018	CG13018	None
MCINX2_00007973-RA	FBPP0086648	CG13016	CG13016	None
MCINX2_00007974-RA	FBPP0087169	S2P	S2P	site-2 protease
MCINX2_00007975-RA	FBPP0111337	CG34229	CG34229	None
MCINX2_00007976-RA	FBPP0099953	sotv	sotv	sister of tout-velu
MCINX2_00007977-RA	FBPP0087138	CG13192	CG13192	None
MCINX2_00007979-RA	FBPP0288528	bs	bs	blistered
MCINX2_00007981-RA	FBPP0072196	CG13578	CG13578	None
MCINX2_00007984-RA	FBPP0072275	mAChR-A	mAChR-A	muscarinic Acetylcholine Receptor
MCINX2_00007985-RA	FBPP0305858	RpL26	RpL26	Ribosomal protein L26
MCINX2_00007988-RA	FBPP0078009	CG7519	CG7519	None
MCINX2_00007989-RA	FBPP0070616	NO66	NO66	Nucleolar protein 66
MCINX2_00007991-RA	FBPP0309277	CG9919	CG9919	None
MCINX2_00007992-RA	FBPP0073459	Tango4	Tango4	Transport and Golgi organization 4
MCINX2_00007993-RA	FBPP0085690	TBCB	TBCB	tubulin-binding cofactor B
MCINX2_00007996-RA	FBPP0302570	CG4266	CG4266	None
MCINX2_00007997-RB	FBPP0074616	FRG1	FRG1	FSHD region gene 1
MCINX2_00007998-RA	FBPP0074606	SCCRO4	SCCRO4	Squamous cell carcinoma-related oncogene 4
MCINX2_00008003-RA	FBPP0074617	gogo	gogo	golden goal
MCINX2_00008009-RA	FBPP0082770	CG14880	CG14880	None
MCINX2_00008013-RA	FBPP0075958	Sod1	Sod1	Superoxide dismutase 1
MCINX2_00008014-RA	FBPP0304784	CG16853	CG16853	None
MCINX2_00008020-RA	FBPP0078124	SLC22A	SLC22A	SLC22A family member
MCINX2_00008021-RC	FBPP0297109	Ttc7	Ttc7	Tetratricopeptide repeat domain 7
MCINX2_00008024-RA	FBPP0293502	Cam	Cam	Calmodulin
MCINX2_00008026-RB	FBPP0301220	CG1172	CG1172	None
MCINX2_00008030-RA	FBPP0089009	AsnS	AsnS	Asparagine synthetase
MCINX2_00008031-RA	FBPP0307904	Fnta	Fnta	Farnesyl transferase alpha
MCINX2_00008038-RB	FBPP0306828	NAT1	NAT1	NAT1
MCINX2_00008039-RA	FBPP0303419	Ptp10D	Ptp10D	Protein tyrosine phosphatase 10D
MCINX2_00008040-RA	FBPP0079802	mre11	mre11	meiotic recombination 11
MCINX2_00008042-RA	FBPP0307143	Trpgamma	Trpgamma	Transient receptor potential cation channel gamma
MCINX2_00008044-RB	FBPP0309118	CG9646	CG9646	None
MCINX2_00008049-RB	FBPP0086129	fat-spondin	fat-spondin	fat-spondin
MCINX2_00008054-RA	FBPP0292219	ATP8A	ATP8A	ATPase 8A
MCINX2_00008055-RA	FBPP0297135	bbc	bbc	bb in a boxcar
MCINX2_00008057-RA	FBPP0306094	CG43980	CG43980	None
MCINX2_00008059-RA	FBPP0074411	Pvf1	Pvf1	PDGF- and VEGF-related factor 1
MCINX2_00008060-RA	FBPP0077204	CG3407	CG3407	None
MCINX2_00008061-RA	FBPP0288705	Las	Las	Lipoic acid synthase
MCINX2_00008065-RC	FBPP0303192	Ten-m	Ten-m	Tenascin major
MCINX2_00008068-RA	FBPP0084803	Cnx99A	Cnx99A	Calnexin 99A
MCINX2_00008073-RA	FBPP0290455	CG8646	CG8646	None
MCINX2_00008076-RA	FBPP0070362	csw	csw	corkscrew
MCINX2_00008077-RA	FBPP0073620	Yippee	Yippee	Yippee
MCINX2_00008078-RA	FBPP0309718	CG7742	CG7742	None
MCINX2_00008079-RA	FBPP0071849	CG17807	CG17807	None
MCINX2_00008080-RA	FBPP0290348	Clc	Clc	Clathrin light chain
MCINX2_00008081-RA	FBPP0086042	PIG-A	PIG-A	Phosphatidylinositol glycan anchor biosynthesis class A
MCINX2_00008082-RA	FBPP0078032	CRIF	CRIF	CR6-interacting factor
MCINX2_00008083-RA	FBPP0082435	CG7886	CG7886	None
MCINX2_00008084-RB	FBPP0289427	bmm	bmm	brummer
MCINX2_00008085-RA	FBPP0074330	CG6179	CG6179	None
MCINX2_00008086-RA	FBPP0074108	CG13005	CG13005	None
MCINX2_00008087-RA	FBPP0311640	RpL21	RpL21	Ribosomal protein L21
MCINX2_00008088-RA	FBPP0083704	Usp12-46	Usp12-46	Ubiquitin-specific protease 12/46
MCINX2_00008089-RA	FBPP0088881	scf	scf	supercoiling factor
MCINX2_00008091-RA	FBPP0113017	CG32036	CG32036	None
MCINX2_00008094-RA	FBPP0071810	CG13532	CG13532	None
MCINX2_00008116-RA	FBPP0070275	CG14795	CG14795	None
MCINX2_00008118-RA	FBPP0086821	arr	arr	arrow
MCINX2_00008119-RA	FBPP0271945	Cubn	Cubn	Cubilin
MCINX2_00008120-RA	FBPP0079234	wol	wol	wollknaeuel
MCINX2_00008121-RA	FBPP0291024	Alg-2	Alg-2	Apoptosis-linked gene-2
MCINX2_00008122-RA	FBPP0084476	CG5815	CG5815	None
MCINX2_00008123-RA	FBPP0311452	RpL27A	RpL27A	Ribosomal protein L27A
MCINX2_00008124-RA	FBPP0072168	cN-IIIB	cN-IIIB	cytosolic 5'-nucleotidase IIIB
MCINX2_00008125-RA	FBPP0088794	CG33298	CG33298	None
MCINX2_00008126-RA	FBPP0088615	Aasdh	Aasdh	Aminoadipate-semialdehyde dehydrogenase
MCINX2_00008127-RA	FBPP0079458	Gdi	Gdi	GDP dissociation inhibitor
MCINX2_00008131-RA	FBPP0074920	Tsp74F	Tsp74F	Tetraspanin 74F
MCINX2_00008132-RA	FBPP0075597	Poc1	Poc1	Proteome of centrioles 1
MCINX2_00008134-RA	FBPP0309478	Ranbp21	Ranbp21	Ranbp21
MCINX2_00008135-RA	FBPP0311704	LeuRS	LeuRS	Leucyl-tRNA synthetase
MCINX2_00008138-RA	FBPP0078279	CG1218	CG1218	None
MCINX2_00008139-RA	FBPP0423162	ras	ras	raspberry
MCINX2_00008142-RA	FBPP0076142	SH3PX1	SH3PX1	SH3 and PX domain containing 1
MCINX2_00008145-RB	FBPP0074296	wupA	wupA	wings up A
MCINX2_00008150-RA	FBPP0070667	CG11436	CG11436	None
MCINX2_00008151-RA	FBPP0074464	CG7990	CG7990	None
MCINX2_00008152-RB	FBPP0300453	sd	sd	scalloped
MCINX2_00008153-RA	FBPP0073876	CG9240	CG9240	None
MCINX2_00008154-RA	FBPP0303136	ZnT63C	ZnT63C	Zinc transporter 63C
MCINX2_00008155-RA	FBPP0074638	Ir76b	Ir76b	Ionotropic receptor 76b
MCINX2_00008156-RA	FBPP0074129	Rrp45	Rrp45	Rrp45
MCINX2_00008157-RA	FBPP0071560	Tmtc3	Tmtc3	Transmembrane and tetratricopeptide repeat containing 3
MCINX2_00008158-RA	FBPP0091035	CG33773	CG33773	None
MCINX2_00008161-RA	FBPP0070204	Tsp2A	Tsp2A	Tetraspanin 2A
MCINX2_00008165-RA	FBPP0072156	CG16786	CG16786	None
MCINX2_00008167-RA	FBPP0083949	Spase22-23	Spase22-23	Spase 22/23-subunit
MCINX2_00008168-RA	FBPP0078994	Fgop2	Fgop2	Fibroblast growth factor receptor 1 oncogene partner 2
MCINX2_00008169-RB	FBPP0074587	CG14185	CG14185	None
MCINX2_00008170-RA	FBPP0077363	Ts	Ts	Thymidylate synthase
MCINX2_00008171-RA	FBPP0074202	CG5445	CG5445	None
MCINX2_00008172-RA	FBPP0072907	nSMase	nSMase	neutral sphingomyelinase
MCINX2_00008173-RB	FBPP0301149	CG5850	CG5850	None
MCINX2_00008174-RA	FBPP0087903	CG12769	CG12769	None
MCINX2_00008177-RA	FBPP0303374	Liprin-beta	Liprin-beta	Liprin-beta
MCINX2_00008179-RA	FBPP0304832	Edem1	Edem1	ER degradation enhancer
MCINX2_00008180-RA	FBPP0075807	CycA	CycA	Cyclin A
MCINX2_00008186-RA	FBPP0074388	wgn	wgn	wengen
MCINX2_00008187-RA	FBPP0074261	stas	stas	Stasimon
MCINX2_00008188-RA	FBPP0289414	CG4558	CG4558	None
MCINX2_00008189-RA	FBPP0310190	CG14195	CG14195	None
MCINX2_00008191-RA	FBPP0086872	CG4679	CG4679	None
MCINX2_00008194-RA	FBPP0074460	CG14196	CG14196	None
MCINX2_00008195-RA	FBPP0304666	CG7884	CG7884	None
MCINX2_00008196-RA	FBPP0074453	CG8034	CG8034	None
MCINX2_00008203-RA	FBPP0070071	ac	ac	achaete
MCINX2_00008204-RA	FBPP0070070	y	y	yellow
MCINX2_00008205-RA	FBPP0291346	CG5946	CG5946	None
MCINX2_00008208-RA	FBPP0075854	crim	crim	crimpled
MCINX2_00008211-RA	FBPP0073326	rtv	rtv	retroactive
MCINX2_00008212-RA	FBPP0070302	mip130	mip130	Myb-interacting protein 130
MCINX2_00008213-RA	FBPP0087861	Nup50	Nup50	Nucleoporin 50kD
MCINX2_00008214-RA	FBPP0309787	Lint-1	Lint-1	l(3)mbt interacting protein 1
MCINX2_00008217-RA	FBPP0309324	Bx	Bx	Beadex
MCINX2_00008223-RA	FBPP0074365	HisRS	HisRS	Histidyl-tRNA synthetase
MCINX2_00008224-RA	FBPP0075560	Vps36	Vps36	Vacuolar protein sorting 36
MCINX2_00008225-RA	FBPP0075607	CG11263	CG11263	None
MCINX2_00008226-RA	FBPP0077856	CG5969	CG5969	None
MCINX2_00008229-RA	FBPP0310009	Nadsyn	Nadsyn	NAD synthetase
MCINX2_00008231-RA	FBPP0070708	ovo	ovo	ovo
MCINX2_00008234-RA	FBPP0073352	Cyp4g15	Cyp4g15	Cyp4g15
MCINX2_00008239-RA	FBPP0070007	CG9578	CG9578	None
MCINX2_00008241-RA	FBPP0074545	Grip84	Grip84	Gamma-tubulin ring protein 84
MCINX2_00008244-RA	FBPP0312488	CG15375	CG15375	None
MCINX2_00008245-RA	FBPP0077523	aop	aop	anterior open
MCINX2_00008246-RA	FBPP0082729	mtSSB	mtSSB	mitochondrial single stranded DNA-binding protein
MCINX2_00008247-RA	FBPP0311792	Capr	Capr	Caprin
MCINX2_00008248-RA	FBPP0074620	CG17233	CG17233	None
MCINX2_00008249-RB	FBPP0072620	pns	pns	pinstripe
MCINX2_00008250-RA	FBPP0070424	egh	egh	egghead
MCINX2_00008256-RA	FBPP0075602	CG14120	CG14120	None
MCINX2_00008257-RA	FBPP0072855	CG32485	CG32485	None
MCINX2_00008258-RA	FBPP0111749	Btk29A	Btk29A	Btk family kinase at 29A
MCINX2_00008259-RA	FBPP0081787	MED7	MED7	Mediator complex subunit 7
MCINX2_00008260-RA	FBPP0080554	cass	cass	cassowary
MCINX2_00008263-RA	FBPP0080943	Pomp	Pomp	Pomp
MCINX2_00008264-RA	FBPP0289355	CG14693	CG14693	None
MCINX2_00008265-RA	FBPP0304636	CG8086	CG8086	None
MCINX2_00008266-RA	FBPP0290553	Pvr	Pvr	PDGF- and VEGF-receptor related
MCINX2_00008269-RA	FBPP0297617	CG1504	CG1504	None
MCINX2_00008271-RA	FBPP0311839	CG17065	CG17065	None
MCINX2_00008272-RA	FBPP0305661	mei-P26	mei-P26	meiotic P26
MCINX2_00008273-RA	FBPP0076467	Srp9	Srp9	Signal recognition particle 9
MCINX2_00008274-RA	FBPP0075554	Spt20	Spt20	Spt20
MCINX2_00008275-RA	FBPP0312052	Ten-a	Ten-a	Tenascin accessory
MCINX2_00008287-RA	FBPP0087609	RpL31	RpL31	Ribosomal protein L31
MCINX2_00008289-RA	FBPP0075316	CG16979	CG16979	None
MCINX2_00008292-RA	FBPP0071321	CARPB	CARPB	Carbonic anhydrase-related protein B
MCINX2_00008298-RA	FBPP0304433	Eig71Ei	Eig71Ei	Eig71Ei
MCINX2_00008299-RA	FBPP0311997	CG32695	CG32695	None
MCINX2_00008301-RA	FBPP0084240	GlnRS	GlnRS	Glutaminyl-tRNA synthetase
MCINX2_00008302-RA	FBPP0292795	ocm	ocm	over compensating males
MCINX2_00008303-RE	FBPP0290874	tho2	tho2	tho2
MCINX2_00008307-RA	FBPP0089217	eIF2Bepsilon	eIF2Bepsilon	eukaryotic translation initiation factor 2B subunit epsilon
MCINX2_00008309-RA	FBPP0086107	APC10	APC10	Anaphase Promoting Complex subunit 10
MCINX2_00008311-RA	FBPP0072133	PHDP	PHDP	Putative homeodomain protein
MCINX2_00008313-RB	FBPP0311634	Mp20	Mp20	Muscle protein 20
MCINX2_00008314-RD	FBPP0312428	Mlp84B	Mlp84B	Muscle LIM protein at 84B
MCINX2_00008315-RA	FBPP0086505	Xpc	Xpc	Xeroderma pigmentosum
MCINX2_00008318-RA	FBPP0311833	CG14207	CG14207	None
MCINX2_00008319-RA	FBPP0071226	CCT2	CCT2	Chaperonin containing TCP1 subunit 2
MCINX2_00008321-RA	FBPP0081793	CG14689	CG14689	None
MCINX2_00008322-RA	FBPP0070931	xit	xit	xiantuan
MCINX2_00008323-RA	FBPP0072642	CG13919	CG13919	None
MCINX2_00008324-RA	FBPP0087616	CG30338	CG30338	None
MCINX2_00008325-RA	FBPP0077927	CSN3	CSN3	COP9 signalosome subunit 3
MCINX2_00008326-RB	FBPP0087607	Urod	Urod	Uroporphyrinogen decarboxylase
MCINX2_00008327-RA	FBPP0303090	rib	rib	ribbon
MCINX2_00008332-RA	FBPP0075791	Pop2	Pop2	Pop2
MCINX2_00008333-RB	FBPP0086954	Iswi	Iswi	Imitation SWI
MCINX2_00008334-RA	FBPP0071420	CG2124	CG2124	None
MCINX2_00008335-RA	FBPP0307915	CG5921	CG5921	None
MCINX2_00008336-RA	FBPP0290385	GlyT	GlyT	Glycine transporter
MCINX2_00008337-RA	FBPP0072050	Taldo	Taldo	Transaldolase
MCINX2_00008339-RA	FBPP0309721	rdgC	rdgC	retinal degeneration C
MCINX2_00008340-RB	FBPP0291672	UQCR-Q	UQCR-Q	Ubiquinol-cytochrome c reductase ubiquinone-binding protein
MCINX2_00008341-RA	FBPP0271784	Ugalt	Ugalt	UDP-galactose transporter
MCINX2_00008342-RA	FBPP0074516	Ssu72	Ssu72	Ssu72 CTD phosphatase
MCINX2_00008343-RA	FBPP0075096	CG9951	CG9951	None
MCINX2_00008344-RA	FBPP0309955	CG4882	CG4882	None
MCINX2_00008345-RA	FBPP0289335	EMC10	EMC10	ER membrane protein complex subunit 10
MCINX2_00008351-RA	FBPP0311618	Scgdelta	Scgdelta	Sarcoglycan delta
MCINX2_00008353-RA	FBPP0081399	CG8236	CG8236	None
MCINX2_00008357-RA	FBPP0077295	OtopLb	OtopLb	Otopetrin-like b
MCINX2_00008360-RA	FBPP0310165	Roc1a	Roc1a	Regulator of cullins 1a
MCINX2_00008361-RA	FBPP0070146	Hmt4-20	Hmt4-20	Histone methyltransferase 4-20
MCINX2_00008363-RA	FBPP0302592	CG1628	CG1628	None
MCINX2_00008365-RA	FBPP0070124	SkpA	SkpA	SKP1-related A
MCINX2_00008373-RA	FBPP0079114	LanB1	LanB1	LanB1
MCINX2_00008376-RA	FBPP0087881	CG14757	CG14757	None
MCINX2_00008377-RA	FBPP0073608	CG1673	CG1673	None
MCINX2_00008380-RA	FBPP0290395	nompB	nompB	no mechanoreceptor potential B
MCINX2_00008381-RA	FBPP0312548	PRAS40	PRAS40	Proline-rich Akt substrate 40 kDa
MCINX2_00008382-RB	FBPP0086373	CysRS	CysRS	Cysteinyl-tRNA synthetase
MCINX2_00008383-RA	FBPP0072351	Kr	Kr	Kruppel
MCINX2_00008386-RA	FBPP0086705	eIF3m	eIF3m	eukaryotic translation initiation factor 3 subunit m
MCINX2_00008387-RA	FBPP0078729	CG6907	CG6907	None
MCINX2_00008388-RA	FBPP0305233	Tsp68C	Tsp68C	Tetraspanin 68C
MCINX2_00008389-RA	FBPP0086723	mam	mam	mastermind
MCINX2_00008390-RA	FBPP0307647	Trap1	Trap1	Trap1
MCINX2_00008391-RA	FBPP0292987	Nrt	Nrt	Neurotactin
MCINX2_00008393-RA	FBPP0075676	Sf3a2	Sf3a2	Splicing factor 3a subunit 2
MCINX2_00008394-RA	FBPP0074501	RpS10b	RpS10b	Ribosomal protein S10b
MCINX2_00008395-RA	FBPP0303954	ND-39	ND-39	NADH dehydrogenase (ubiquinone) 39 kDa subunit
MCINX2_00008396-RB	FBPP0311994	ric8a	ric8a	ric8a
MCINX2_00008397-RA	FBPP0087006	CG17739	CG17739	None
MCINX2_00008398-RA	FBPP0077878	ZnT77C	ZnT77C	Zinc transporter 77C
MCINX2_00008401-RA	FBPP0086387	CG8435	CG8435	None
MCINX2_00008403-RA	FBPP0289620	CycD	CycD	Cyclin D
MCINX2_00008404-RA	FBPP0070596	lva	lva	lava lamp
MCINX2_00008405-RA	FBPP0078635	mRpL28	mRpL28	mitochondrial ribosomal protein L28
MCINX2_00008406-RA	FBPP0113087	CG7766	CG7766	None
MCINX2_00008408-RA	FBPP0304773	Ac13E	Ac13E	Adenylyl cyclase 13E
MCINX2_00008409-RA	FBPP0290451	CG8916	CG8916	None
MCINX2_00008411-RA	FBPP0089263	Lcch3	Lcch3	Ligand-gated chloride channel homolog 3
MCINX2_00008413-RA	FBPP0290880	Lrp4	Lrp4	LDL receptor related protein 4
MCINX2_00008414-RA	FBPP0309134	snz	snz	snazarus
MCINX2_00008415-RA	FBPP0080865	Pyroxd1	Pyroxd1	Pyridine nucleotide-disulfide oxidoreductase domain 1
MCINX2_00008416-RA	FBPP0088416	Vamp7	Vamp7	Vesicle-associated membrane protein 7
MCINX2_00008417-RA	FBPP0303595	OtopLc	OtopLc	Otopetrin-like c
MCINX2_00008419-RA	FBPP0077587	robo3	robo3	roundabout 3
MCINX2_00008420-RA	FBPP0290485	CG42566	CG42566	None
MCINX2_00008421-RA	FBPP0071773	CG13510	CG13510	None
MCINX2_00008422-RA	FBPP0311697	mRpL27	mRpL27	mitochondrial ribosomal protein L27
MCINX2_00008423-RA	FBPP0070371	Cyp4d2	Cyp4d2	Cytochrome P450-4d2
MCINX2_00008424-RA	FBPP0079871	Ada1-2	Ada1-2	transcriptional Adaptor 1-2
MCINX2_00008425-RA	FBPP0312545	Suv3	Suv3	Suv3 helicase
MCINX2_00008427-RA	FBPP0301571	eIF5B	eIF5B	eukaryotic translation initiation factor 5B
MCINX2_00008437-RA	FBPP0079352	PrBP	PrBP	Prenyl-binding protein
MCINX2_00008438-RB	FBPP0075916	Ube3a	Ube3a	Ubiquitin protein ligase E3A
MCINX2_00008440-RA	FBPP0310151	CG44836	CG44836	None
MCINX2_00008441-RA	FBPP0304365	Pi3K68D	Pi3K68D	Phosphatidylinositol 3-kinase 68D
MCINX2_00008444-RA	FBPP0075819	Pi3K68D	Pi3K68D	Phosphatidylinositol 3-kinase 68D
MCINX2_00008448-RA	FBPP0310139	CG6903	CG6903	None
MCINX2_00008450-RA	FBPP0089339	CrebA	CrebA	Cyclic-AMP response element binding protein A
MCINX2_00008451-RA	FBPP0290220	CG4041	CG4041	None
MCINX2_00008452-RA	FBPP0289638	CG4294	CG4294	None
MCINX2_00008453-RA	FBPP0289126	Sytbeta	Sytbeta	Synaptotagmin beta
MCINX2_00008454-RA	FBPP0082913	CG31360	CG31360	None
